StockId,Date,Value
23262,2013-01-04,0.04073379
44446,2013-01-04,0.02031761
61943,2013-01-04,0.06093176
75488,2013-01-04,0.04319635
79454,2013-01-04,0.07679857
79974,2013-01-04,0.05732305
97400,2013-01-04,0.04120824
105188,2013-01-04,0.03594159
122697,2013-01-04,0.00485129
134839,2013-01-04,0.06922463
140055,2013-01-04,7.28752e-4
140404,2013-01-04,0.01702014
152213,2013-01-04,-0.003073195
158097,2013-01-04,0.05975803
161247,2013-01-04,0.1068125
165025,2013-01-04,0.03911206
169364,2013-01-04,0.07975935
175121,2013-01-04,0.06185131
189325,2013-01-04,0.05659408
206564,2013-01-04,0.03552097
207246,2013-01-04,-0.04200359
213639,2013-01-04,0.06770086
224665,2013-01-04,0.03272251
229759,2013-01-04,0.01576639
233782,2013-01-04,0.07981833
234667,2013-01-04,0.04754828
94715,2013-01-04,0.01932025
212659,2013-01-04,0.05440764
42927,2013-01-04,0.06061772
115502,2013-01-04,0.0438763
33521,2013-01-04,0.04486
162621,2013-01-04,0.06558894
190234,2013-01-04,0.01050576
69815,2013-01-04,0.02305325
19472,2013-01-04,0.02733786
50388,2013-01-04,0.01887687
227498,2013-01-04,0.04269229
187442,2013-01-04,0.01058408
211026,2013-01-04,0.04298883
99867,2013-01-04,0.02216776
607,2013-01-04,0.04623345
75624,2013-01-04,0.02913406
88165,2013-01-04,0.04248529
123083,2013-01-04,0.04687074
192320,2013-01-04,0.02107544
170157,2013-01-04,0.007947053
54964,2013-01-04,0.01907669
134657,2013-01-04,0.03249817
199782,2013-01-04,0.06670769
118956,2013-01-04,0.02344978
206469,2013-01-04,-0.001032677
210449,2013-01-04,0.02806876
147,2013-01-04,0.04955202
2582,2013-01-04,0.01535488
11646,2013-01-04,0.04157037
11922,2013-01-04,0.07248598
13500,2013-01-04,-0.01351068
14016,2013-01-04,0.01780467
15372,2013-01-04,-0.04234695
18436,2013-01-04,0.03138658
18510,2013-01-04,0.03184196
25399,2013-01-04,-0.02427982
26237,2013-01-04,0.05531043
28313,2013-01-04,-0.01694216
28440,2013-01-04,-0.02920846
37529,2013-01-04,-0.001165993
41813,2013-01-04,0.02447709
43403,2013-01-04,0.07069255
44080,2013-01-04,-0.01475484
61859,2013-01-04,0.008496035
62491,2013-01-04,0.05978472
62602,2013-01-04,0.01356221
